Date,Close,FTSE 100,Date,Close,Dow Jones ,Date,Close,CAC 40,Date,Close,Nikkei 225,Date,Close,FTSE MIB,Date,Close,SZSE Component Index,Date,Close,DAX,Date,Close,EURONEXT 100
1/2/2020 16:30:00,7604.3,7604.3,1/2/2020 16:00:00,28868.8,28868.8,1/2/2020 17:30:00,6041.5,6041.5,1/6/2020 15:00:00,23204.86,23204.86,1/2/2020 17:30:00,23836.26,23836.26,1/2/2020 15:00:00,10638.83,10638.83,1/2/2020 20:00:00,13385.93,13385.93,1/2/2020 17:30:00,1158.26,1158.26
1/3/2020 16:30:00,7622.4,7622.4,1/3/2020 16:00:00,28634.88,28634.88,1/3/2020 17:30:00,6044.16,6044.16,1/7/2020 15:00:00,23575.72,23575.72,1/3/2020 17:30:00,23702.35,23702.35,1/3/2020 15:00:00,10656.41,10656.41,1/3/2020 20:00:00,13219.14,13219.14,1/3/2020 17:30:00,1157.38,1157.38
1/6/2020 16:30:00,7575.34,7575.34,1/6/2020 16:00:00,28703.38,28703.38,1/6/2020 17:30:00,6013.59,6013.59,1/8/2020 15:00:00,23204.76,23204.76,1/6/2020 17:30:00,23581.29,23581.29,1/6/2020 15:00:00,10698.27,10698.27,1/6/2020 20:00:00,13126.99,13126.99,1/6/2020 17:30:00,1151.81,1151.81
1/7/2020 16:30:00,7573.85,7573.85,1/7/2020 16:00:00,28583.68,28583.68,1/7/2020 17:30:00,6012.35,6012.35,1/9/2020 15:00:00,23739.87,23739.87,1/7/2020 17:30:00,23723.38,23723.38,1/7/2020 15:00:00,10829.05,10829.05,1/7/2020 20:00:00,13226.83,13226.83,1/7/2020 17:30:00,1153.09,1153.09
1/8/2020 16:30:00,7574.93,7574.93,1/8/2020 16:00:00,28745.09,28745.09,1/8/2020 17:30:00,6031,6031,1/10/2020 15:00:00,23850.57,23850.57,1/8/2020 17:30:00,23832.02,23832.02,1/8/2020 15:00:00,10706.87,10706.87,1/8/2020 20:00:00,13320.18,13320.18,1/8/2020 17:30:00,1155.38,1155.38
1/9/2020 16:30:00,7598.12,7598.12,1/9/2020 16:00:00,28956.9,28956.9,1/9/2020 17:30:00,6042.55,6042.55,1/14/2020 15:00:00,24025.17,24025.17,1/9/2020 17:30:00,24016.7,24016.7,1/9/2020 15:00:00,10898.17,10898.17,1/9/2020 20:00:00,13495.06,13495.06,1/9/2020 17:30:00,1158.67,1158.67
1/10/2020 16:30:00,7587.85,7587.85,1/10/2020 16:00:00,28823.77,28823.77,1/10/2020 17:30:00,6037.11,6037.11,1/15/2020 15:00:00,23916.58,23916.58,1/10/2020 17:30:00,24021.4,24021.4,1/10/2020 15:00:00,10879.84,10879.84,1/10/2020 20:00:00,13483.31,13483.31,1/10/2020 17:30:00,1157.33,1157.33
1/13/2020 16:30:00,7617.6,7617.6,1/13/2020 16:00:00,28907.05,28907.05,1/13/2020 17:30:00,6036.14,6036.14,1/16/2020 15:00:00,23933.13,23933.13,1/13/2020 17:30:00,23896.59,23896.59,1/13/2020 15:00:00,11040.2,11040.2,1/13/2020 20:00:00,13451.52,13451.52,1/13/2020 17:30:00,1155.86,1155.86
1/14/2020 16:30:00,7622.35,7622.35,1/14/2020 16:00:00,28939.67,28939.67,1/14/2020 17:30:00,6040.89,6040.89,1/17/2020 15:00:00,24041.26,24041.26,1/14/2020 17:30:00,23928.21,23928.21,1/14/2020 15:00:00,10988.77,10988.77,1/14/2020 20:00:00,13456.49,13456.49,1/14/2020 17:30:00,1157.63,1157.63
1/15/2020 16:30:00,7642.8,7642.8,1/15/2020 16:00:00,29030.22,29030.22,1/15/2020 17:30:00,6032.61,6032.61,1/20/2020 15:00:00,24083.51,24083.51,1/15/2020 17:30:00,23763.86,23763.86,1/15/2020 15:00:00,10972.32,10972.32,1/15/2020 20:00:00,13432.3,13432.3,1/15/2020 17:30:00,1157.87,1157.87
